Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,True_Label,Predicted_Label,Error_Type,Model
-0.2753542364784702,-0.11584340925063089,-0.1571395248630681,-0.3449535514539138,-0.3547524491921646,-0.370201480316857,-0.3548983691725902,-0.24169410344745168,-0.36152137041310706,-0.312441822394696,-0.3249089314001246,-0.05343597760111317,-0.5277398079438766,-0.2667143236233952,-0.35082646085300645,-0.30875229432121104,-0.34352921232624856,-0.3374624523900104,-0.4360011264956464,-0.29466950729873564,-0.37701099859861903,-0.37532641747443435,-0.37413728319743816,-0.375609098195028,-0.39264938533867905,-0.44735481631830115,-0.36951717689900626,-0.13742843236844107,-0.3053627477681529,-0.3619723240612049,-0.6724441901009875,-0.4022860970106257,-0.3452067921663009,-0.34135336133906563,-0.3560773939901009,-0.09034428874623696,-0.19072448679071896,-0.36006160655725894,-0.31282226398556656,-0.3889906719288681,-0.25430728764898547,-0.36731607720353593,-0.2006981507131705,-0.2993326938777746,-0.4113061913318197,-0.42107386522302753,-0.2515648322431478,-0.26709499449218105,-0.438897230432481,-0.36504486494098093,-0.36476622357885374,-0.34977638742173583,-0.3893247549487475,-0.27518102804548966,-0.17909225613991306,-0.359920349910668,-0.20331331045598675,-0.33922021703388866,-0.5290306007619671,-0.31252234415495694,-0.37468403320913707,-0.35694501660955963,-0.184865914392216,-0.4254108890832808,-0.34930583881565785,0,1,False Positive,Logistic Regression
-0.2745762975025559,-0.7703149957202586,-0.18846354601457582,-0.271314854078823,-0.3982834938674062,-0.3067026416455072,-0.3398528292093252,-0.3267271750748114,-0.3994156091607767,-0.4735282025990515,-0.32247126633720113,-0.2813504595457962,-0.16098296408942,-0.2632691900441077,-0.3155517804072847,-0.32566652060459833,-0.47222458922321353,-0.4442171621347927,-0.4070246798707283,-0.38316581015848084,-0.3218576603878425,-0.3759629599547527,-0.37671318997224235,-0.31452780115477935,-0.44470444538323917,-0.5331246554301201,-0.32157877263106194,-0.16434968986953477,-0.2557896478661567,-0.3449098557219375,-0.1320296718791984,-0.31077894331312766,-0.43780598228084355,-0.2159862007602442,-0.3187445815355524,-0.13214185671198977,-0.40975911218355887,-0.3758941036605029,-0.2471203791273024,-0.3853723863497799,-0.1969016609393121,-0.3660106661701009,-0.46684644397513725,-0.373432206262146,-0.4171557413348775,-0.19781693100843564,-0.30923806449688745,-0.32995265804151086,-0.4851543290579245,-0.04743125181579763,-0.3415890576193679,-0.3550059300336533,-0.42537823865185426,-0.40552303908346954,-0.2884761266525623,-0.3669903082467965,-0.2365172652485456,-0.34119982286877154,-0.5508405396776211,-0.2954868046230182,-0.3601916784233405,-0.367169459134533,-0.3246185915750543,-0.5381643637916951,-0.3230090343194585,1,0,False Negative,Logistic Regression
-0.2621659465694828,0.5048583920728267,-0.15823196696718864,-0.33903496478161627,-0.33446184697137943,-0.29540262469058387,-0.35479976149534015,-0.5954169281517021,-0.20129889264527148,-0.028401867795140506,-0.3185525988929289,-0.39227919428051194,-0.5256795661896583,-0.26642584426107113,-0.39765217814533943,-0.3239599881585764,-0.33256283199525005,-0.3459042355103698,-0.42331834729291123,-0.4532237436965636,-0.4917875069386931,-0.34716869691265867,-0.39263187714882625,-0.4238158507739989,-0.5267752387797431,-0.3840894856477544,-0.3699685932047293,-0.2259121144820687,-0.13247063996542405,-0.35492010269438934,-0.6377908119313845,-0.20783475270905472,-0.43744514102455867,-0.261315345951192,-0.30759200931828745,-0.24100730422358468,-0.25895992566821685,-0.36561497324031306,-0.2583769620582685,-0.3816847255864977,-0.1618435165018026,-0.391068898709504,-0.4782778263218855,-0.34196992051231956,-0.35970747857959634,-0.2878939824954186,-0.31178156322469586,-0.19659789762300264,-0.2943642342426661,-0.2327502971652802,-0.26607037422464164,-0.4542301247960376,-0.2649167596043077,-0.2776159042865564,-0.3085716223457584,-0.37779245947265805,-0.4866089640498746,-0.32713171003780683,-0.339293607157319,-0.2498987899200186,-0.39874349079824806,-0.35896289894685207,-0.5024740023210095,-0.4865601998630518,-0.49549605215921955,1,0,False Negative,Logistic Regression
-0.27175471941032353,-0.4097488148452844,-0.4177226952959416,-0.2988421110671226,-0.41395520291050303,-0.3025582950056488,-0.3622525939764139,-0.3377471463932525,-0.3699165169608528,-0.628304220723756,-0.3396510670909431,-0.2462602401947364,-0.46528753284865104,-0.2668184543509842,-0.26620930342582694,-0.2929738635800102,-0.3777562669014052,-0.3100423672174752,-0.3630310807652706,-0.30753387331309157,-0.3407547163344205,-0.37768766567502987,-0.33190125737418524,-0.34388581583537875,-0.3650996058971711,-0.3659120935518304,-0.2970202521847766,-0.2023043121139745,-0.26987807510427586,-0.37496923063527865,-0.6293819442772405,-0.6800304650009721,-0.408084928654548,-0.33943972826363233,-0.36230499037240144,-0.5637715805428757,-0.4328527911095483,-0.3536036186199206,-0.2826576787504368,-0.3852645739052688,-0.3972853411163905,-0.3151921670918798,-0.20806373171755677,-0.3686088120445989,-0.38020805428616633,-0.31514839048715904,-0.29054615329696076,-0.5516586348944933,-0.2112948791302193,-0.14197193643485168,-0.38643862022128117,-0.25892346718185816,-0.2711633856223848,-0.2578875277319328,-0.3851832712508981,-0.38934126860040785,0.004330385258326727,-0.3124738319610841,-0.11078621653820307,-0.3601502182448134,-0.3786470009436534,-0.352069352348279,-0.16622214498800933,-0.28635981282779294,-0.17018660517425743,1,0,False Negative,Logistic Regression
-0.2650630174443175,-0.21478729925025955,-0.2620469668501672,-0.26444106624775543,-0.36853105376551953,-0.28396358303930425,-0.38151536861690116,-0.3617191121835716,-0.5092604145707252,-0.4359180254521202,-0.3407943200406199,-0.22980786688600294,-0.45244285413283514,-0.2640791219745841,-0.31602965652969567,-0.33658633035781255,-0.3813223561732241,-0.34522373187167643,-0.4410981721100685,-0.44581887714961066,-0.5184242212208509,-0.3772315184978362,-0.3939481872927784,-0.3419106705342581,-0.4342942763958526,-0.428048547098696,-0.3074516371122986,-0.30763633169680454,-0.37730654771078315,-0.3438404648091107,-0.49390715501587246,-0.477235853644961,-0.2921810093116276,-0.30335724881288895,-0.3478002675290907,-0.19774434471066224,-0.3705437016635689,-0.34260447708792247,-0.3598054926502987,-0.3845647504319049,-0.4780620513805628,-0.38964002718153345,-0.3887075496651459,-0.27530794572339423,-0.3773631448433292,-0.34756953190686335,-0.25832571778302066,-0.19926472163506867,-0.39570691803678526,-0.512868147643466,-0.46284352531545825,-0.3314152018511223,-0.31700980672811513,-0.3668622228708834,-0.28410532739682653,-0.39965433612831014,-0.35452568911171845,-0.33749141719909576,-0.33755772633827946,-0.2420398504205355,-0.44018735885386845,-0.36075951405920226,-0.5069592919121669,-0.41643377680091875,-0.5895882258324922,1,0,False Negative,Logistic Regression
-0.27393199588223144,-0.2108155045551528,-0.014692311865062294,-0.39068553120260224,-0.35469623238240716,-0.34574094241378334,-0.3479971848202772,-0.6351004863162881,-0.2559665999410622,-0.3677165617657771,-0.32754051334292505,-0.4485060239950159,-0.3032911060050738,-0.26534587197936405,-0.3214359858904487,-0.436345880893954,-0.4240522937132021,-0.5326498929599384,-0.35807469269789766,-0.34817826106085903,-0.4593283584493049,-0.3117288971192467,-0.3732180147827413,-0.29366889450204553,-0.45788968940495667,-0.19836252499847432,-0.36454100378440457,-0.3458572814286403,-0.3024072803823673,-0.3606679355474078,0.12950589447010166,-0.48150423420059457,-0.17939829727922435,-0.16443434038974641,-0.3101363762205047,-0.2587622452421437,-0.36693529622611254,-0.3789318807458382,-0.23296841335345578,-0.3902975174481089,-0.5236099175300579,-0.34757955038241645,-0.2238739598432924,-0.3575137439013311,-0.5547797583471437,-0.2291000687658333,-0.21933945487296105,-0.42254926322140884,-0.40802941895405764,-0.4444089038001739,-0.4854695057439378,-0.33141035032872607,-0.3799437546135474,-0.195483025941669,-0.2614791152266051,-0.37273940009302986,-0.5519798790649666,-0.365538156067858,-0.015427284217681662,-0.19754890002995623,-0.4049974267776729,-0.3585061755592491,-0.5146324172707347,-0.339674374246067,-0.38180439405166605,1,0,False Negative,Logistic Regression
-0.2622459707814354,-0.39292833248047376,-0.5191927327720058,-0.4388999649848847,-0.34711522975136355,-0.31611578919492456,-0.36744950810831783,-0.09026120332272392,-0.34907248820942643,-0.38033453231810677,-0.3322165232567313,-0.19094420887690383,-0.293576763962771,-0.26647443543515525,-0.3531867624381613,-0.3412881382879144,-0.37443922735419255,-0.302534192384742,-0.42794243206332877,-0.3961291149476785,-0.36478373159078936,-0.3585917951873145,-0.27459633776373743,-0.35056962989516166,-0.34089117889020865,-0.029787964096159063,-0.41799031513637414,-0.213489501743022,-0.31375975897491437,-0.37287054744837117,-0.7278961866528426,-0.08538540645274773,-0.2470229180180651,-0.37579704565349104,-0.2977586355888562,-0.3771296227853483,-0.1933463595243266,-0.3439406891917484,-0.49675457940695233,-0.38458955166709535,-0.3984415944222244,-0.4559973010599727,-0.5064155005738581,-0.36746525819758435,-0.49587012516152595,-0.45351110144807005,-0.27802057537139785,-0.3553006652396286,-0.4414582199425785,-0.3337170827266018,-0.4731328074013238,-0.33153113148836577,-0.29101771707090757,-0.32093513505163435,-0.32699317094347474,-0.35372434103408307,-0.4077528138962802,-0.3554607314146547,-0.46796438776670335,-0.07532260319759738,-0.39742734752855735,-0.35915445647314875,-0.2988252131956165,-0.4775693247055471,-0.32556255933362066,1,0,False Negative,Logistic Regression
-0.274707372548163,0.4130431262519535,-0.425845325755324,-0.30640267856632436,-0.3778398424885296,-0.402398601710024,-0.3596164552418651,-0.41337613825741165,-0.2509609798555372,-0.34303032371036474,-0.33904068464199405,-0.45315233771120744,-0.2795166160049032,-0.2659054553399975,-0.30288862507034514,-0.36858930252780236,-0.31148310700093135,-0.19336918348177481,-0.295531434159984,-0.24494066773832776,-0.31355529935121923,-0.35054691430951584,-0.3968256757787142,-0.45424234463276897,-0.5248000105094958,-0.16182450945945448,-0.3109427763021638,-0.2901613612281192,-0.24813004064581093,-0.34718920890253124,-0.09055791300303657,-0.1897447195494364,-0.46951622574532975,-0.36326333594061827,-0.2919345828803643,-0.20464733027888662,-0.4167208227432677,-0.40207406008322305,-0.29880735840280837,-0.39159908214147215,-0.6031465638138316,-0.4177237558272949,-0.484129481590061,-0.3154317271667568,-0.35793659403312206,-0.041696056764350134,-0.24878879078803093,-0.2844455545616179,-0.291932100475192,-0.034992844284143274,-0.2931044033841239,-0.34812994052823115,-0.2842983080179064,-0.3920094587204805,-0.24307970283933744,-0.3523905836133878,-0.199427597834615,-0.3446517978850076,-0.3160672736442792,-0.2724394530830271,-0.4480889787129592,-0.36214013839148285,-0.3947646501667862,-0.47271878538534146,-0.20299545623717224,1,0,False Negative,Logistic Regression
-0.2697311251147563,-0.03390860845703882,-0.6580609230680895,-0.5183515264795199,-0.3838386099645541,-0.24702911833653077,-0.338953434489355,-0.597743456637823,-0.2768806276070353,-0.5299608999773263,-0.3468071074795918,-0.5670263751818605,-0.37147365367152385,-0.2664311558046216,-0.36979307375234977,-0.3414917213812975,-0.23956277411629603,-0.1340876824733003,-0.3464265478757759,-0.3957294412880944,-0.3088015380874615,-0.3649213510632411,-0.35908568478808944,-0.4217278790132622,-0.39753389728851385,-0.23131742927703275,-0.3403810241762013,-0.45717209980536466,-0.3164326606603152,-0.3645769878576865,-0.15525577628876022,-0.2333458285037377,-0.36968115975243054,-0.31956942759991636,-0.2962488540328023,-0.6096919290840179,-0.3234089287317203,-0.3812410332612999,-0.21647625357064612,-0.3857387200405626,-0.19413689185756272,-0.406746077820573,-0.26189856782371984,-0.2551499356303916,-0.4228254109466507,-0.22250993011004777,-0.31825767867622373,-0.3235983204403968,-0.42008800720825884,-0.6224092333249318,-0.4598217334155207,-0.2384559532915104,-0.38185109243961735,-0.4683629344359997,-0.16465445572507703,-0.36768089179127084,-0.42368747722791417,-0.35844532503642534,-0.21881566698725005,-0.338172922091216,-0.3802876258048427,-0.36341301118040387,-0.4466602958884102,-0.4144809182134785,-0.23738063585427385,1,0,False Negative,Logistic Regression
-0.27988379474680536,0.33538712799611303,-0.45164577719160065,-0.46950965238973663,-0.3373922557836576,-0.29563842317313055,-0.35883541271656294,-0.19839920145856832,-0.23703670769780422,-0.5150852275649802,-0.34403064859782045,-0.3349049018289297,-0.46424956810507173,-0.2636557663617027,-0.323054580783394,-0.3888923304053807,-0.288844624839584,-0.29067984526260066,-0.32159776218071845,-0.31250064981776793,-0.45267949284486725,-0.3781579982854408,-0.375356426045164,-0.37299344478746,-0.43233225662552704,-0.4541838352177889,-0.40140941874321584,-0.42520694083188315,-0.04293390505280364,-0.3668459837091187,-0.545291065527472,-0.20952379352845157,-0.32989212272348084,-0.2739400938300927,-0.37793322026360776,-0.3582594652577965,-0.23973920805334287,-0.3652543399637027,-0.27951957742302164,-0.39015074323240495,0.12975936047338382,-0.3317860437401861,-0.46475244134144855,-0.37940930043320675,-0.46599349984135247,-0.4078901609489252,-0.2674142403079135,-0.4429856496429251,-0.3193312675634897,-0.7440055273948993,-0.4861502511553221,-0.2901128159620591,-0.46139374860580207,-0.2834576173151884,-0.37054093726706466,-0.3428922298489965,-0.3856779951940031,-0.3412053295153332,-0.5317421200256989,-0.38727717071902656,-0.28412319426400495,-0.3623186815014284,-0.4561405509224867,-0.33350159244621913,-0.14703851347256566,1,0,False Negative,Logistic Regression
